"Director_ID","Director"
144,"Frank Darabont"
139,"Francis Ford Coppola"
86,"Christopher Nolan"
459,"Sidney Lumet"
386,"Peter Jackson"
394,"Quentin Tarantino"
473,"Steven Spielberg"
102,"David Fincher"
429,"Robert Zemeckis"
452,"Sergio Leone"
286,"Lana Wachowski"
315,"Martin Scorsese"
193,"Irvin Kershner"
344,"Milos Forman"
495,"Thomas Kail"
57,"Bong Joon Ho"
475,"Sudha Kongara"
137,"Fernando Meirelles"
181,"Hayao Miyazaki"
430,"Roberto Benigni"
255,"Jonathan Demme"
160,"George Lucas"
318,"Masaki Kobayashi"
10,"Akira Kurosawa"
143,"Frank Capra"
502,"Todd Phillips"
93,"Damien Chazelle"
368,"Olivier Nakache"
434,"Roman Polanski"
414,"Ridley Scott"
510,"Tony Kaye"
65,"Bryan Singer"
296,"Luc Besson"
431,"Roger Allers"
204,"James Cameron"
169,"Giuseppe Tornatore"
194,"Isao Takahata"
23,"Alfred Hitchcock"
331,"Michael Curtiz"
77,"Charles Chaplin"
348,"Nadine Labaki"
70,"Can Ulkay"
156,"Gayatri"
302,"Makoto Shinkai"
361,"Nitesh Tiwari"
56,"Bob Persichetti"
37,"Anthony Russo"
290,"Lee Unkrich"
397,"Rajkumar Hirani"
1,"Aamir Khan"
31,"Andrew Stanton"
138,"Florian Henckel von Donnersmarck"
76,"Chan-wook Park"
466,"Stanley Kubrick"
190,"Hrishikesh Mukherjee"
50,"Billy Wilder"
441,"Sam Mendes"
395,"Rahi Anil Barve"
463,"Sriram Raghavan"
224,"Jeethu Joseph"
496,"Thomas Vinterberg"
43,"Asghar Farhadi"
112,"Denis Villeneuve"
325,"Mehmet Ada Öztekin"
68,"Çagan Irmak"
336,"Michel Gondry"
221,"Jean-Pierre Jeunet"
177,"Guy Ritchie"
99,"Darren Aronofsky"
175,"Gus Van Sant"
301,"Majid Majidi"
245,"John Lasseter"
327,"Mel Gibson"
123,"Elem Klimov"
61,"Brian De Palma"
412,"Richard Marquand"
533,"Wolfgang Petersen"
163,"George Roy Hill"
103,"David Lean"
464,"Stanley Donen"
522,"Vittorio De Sica"
371,"Orson Welles"
148,"Fritz Lang"
9,"Aditya Dhar"
392,"Prashanth Neel"
385,"Peter Farrelly"
313,"Martin McDonagh"
324,"Meghna Gulzar"
440,"S.S. Rajamouli"
453,"Sergio Pablos"
360,"Nishikant Kamat"
518,"Vikas Bahl"
547,"Zaza Urushadze"
399,"Rakeysh Omprakash Mehra"
41,"Anurag Kashyap"
519,"Vikramaditya Motwane"
497,"Tigmanshu Dhulia"
266,"Juan José Campanella"
155,"Gavin O'Connor"
383,"Pete Docter"
455,"Shimit Amin"
379,"Paul Thomas Anderson"
174,"Guillermo del Toro"
212,"James McTeigue"
445,"Sanjay Leela Bhansali"
44,"Ashutosh Gowariker"
365,"Oliver Hirschbiegel"
436,"Ron Howard"
393,"Priyadarshan"
90,"Curtis Hanson"
540,"Yavuz Turgul"
333,"Michael Mann"
398,"Rajkumar Santoshi"
87,"Clint Eastwood"
125,"Emir Kusturica"
247,"John McTiernan"
26,"Andrei Tarkovsky"
192,"Ingmar Bergman"
346,"Moustapha Akkad"
400,"Ramesh Sippy"
490,"Terry Gilliam"
250,"John Sturges"
423,"Robert Mulligan"
465,"Stanley Kramer"
267,"Jules Dassin"
539,"Yasujirô Ozu"
261,"Joseph L. Mankiewicz"
243,"John Huston"
128,"Ernst Lubitsch"
66,"Buster Keaton"
75,"Céline Sciamma"
35,"Aniruddha Roy Chowdhury"
349,"Naoko Yamada"
370,"Oriol Paulo"
536,"Xavier Dolan"
521,"Vishal Bhardwaj"
210,"James Mangold"
291,"Lenny Abrahamson"
92,"Damián Szifron"
364,"Nuri Bilge Ceylan"
516,"Umesh Shukla"
527,"Wes Anderson"
303,"Mamoru Hosoda"
40,"Anurag Basu"
471,"Steve McQueen"
505,"Tom McCarthy"
508,"Tomm Moore"
476,"Sujoy Ghosh"
548,"Zoya Akhtar"
161,"George Miller"
351,"Neeraj Pandey"
109,"David Yates"
543,"Yôjirô Takita"
288,"Lasse Hallström"
6,"Adam Elliot"
111,"Dean DeBlois"
449,"Sean Penn"
129,"Ethan Coen"
489,"Terry George"
216,"Je-kyu Kang"
411,"Richard Linklater"
133,"Farhan Akhtar"
15,"Alejandro G. Iñárritu"
185,"Hideaki Anno"
300,"M. Night Shyamalan"
388,"Peter Weir"
233,"Joel Coen"
271,"Kar-Wai Wong"
97,"Danny Boyle"
319,"Mathieu Kassovitz"
8,"Aditya Chopra"
285,"Krzysztof Kieslowski"
230,"Jim Sheridan"
270,"Kaige Chen"
542,"Yimou Zhang"
416,"Rob Reiner"
366,"Oliver Stone"
531,"Wim Wenders"
238,"John Carpenter"
13,"Alan Parker"
526,"Werner Herzog"
105,"David Lynch"
491,"Terry Jones"
330,"Michael Cimino"
241,"John G. Avildsen"
384,"Peter Bogdanovich"
222,"Jean-Pierre Melville"
474,"Stuart Rosenberg"
168,"Gillo Pontecorvo"
298,"Luis Buñuel"
417,"Robert Aldrich"
239,"John Ford"
142,"François Truffaut"
529,"William Wyler"
135,"Federico Fellini"
124,"Elia Kazan"
182,"Henri-Georges Clouzot"
401,"Raoul Walsh"
72,"Carol Reed"
334,"Michael Powell"
517,"Victor Fleming"
217,"Jean Renoir"
71,"Carl Theodor Dreyer"
131,"F.W. Murnau"
88,"Clyde Bruckman"
427,"Robert Wiene"
24,"Amit Ravindernath Sharma"
127,"Ericson Core"
396,"Raja Menon"
269,"Kabir Khan"
152,"Garth Davis"
67,"Byron Howard"
467,"Stephen Chbosky"
115,"Destin Daniel Cretton"
151,"Gareth Evans"
345,"Morten Tyldum"
207,"James Gunn"
461,"Spike Jonze"
259,"José Padilha"
504,"Tom Hooper"
482,"Tate Taylor"
499,"Tim Miller"
530,"Wilson Yip"
272,"Karan Johar"
293,"Levent Semerci"
265,"Joss Whedon"
520,"Vincent Paronnaud"
220,"Jean-Marc Vallée"
149,"Gabriele Muccino"
122,"Edward Zwick"
